model_size,model_name,shots,Accuracy,Precision (Accept),Recall (Accept),F1-Score (Accept),AUROC
1.5,Qwen 1.5B,0,0.7091710272652162,0.5543398978847557,0.33613445378151263,0.4185022026431718,0.606979444447245
1.5,Qwen 1.5B,1,0.6521140338796308,0.4584509250548761,0.6466165413533834,0.5365137614678899,0.6506082706766918
1.5,Qwen 1.5B,2,0.38388429752066117,0.3330819128073616,0.9769911504424779,0.49679379007762403,0.5463955752212389
1.5,Qwen 1.5B,3,0.6155117784818845,0.4303697875688434,0.7261061946902655,0.5404248312201548,0.6458096486553948
3.0,Qwen 3B,0,0.7075185899201322,0.5293361884368308,0.5466607695709863,0.5378590078328982,0.6634523603903721
3.0,Qwen 3B,1,0.7021071477757884,0.7692307692307693,0.06191950464396285,0.11461318051575932,0.5267597523219815
3.0,Qwen 3B,2,0.4758953168044077,0.367245231139371,0.945575221238938,0.5290258695383092,0.604587610619469
3.0,Qwen 3B,3,0.711254993800799,0.7679738562091504,0.10398230088495575,0.18316445830085737,0.5448897301584211
7.0,Qwen 7B,0,0.6613880473698706,0.47571148184494605,0.8575851393188855,0.6119614959760139,0.715135301113152
7.0,Qwen 7B,1,0.7666988018179314,0.6447166921898928,0.5586023883237505,0.5985781990521327,0.7097011941618753
7.0,Qwen 7B,2,0.6516528925619834,0.46725103481860236,0.8491150442477876,0.6027956651484215,0.7057575221238939
7.0,Qwen 7B,3,0.7516186802589888,0.6711610486891386,0.39646017699115044,0.4984700973574409,0.654321306739224
14.0,Qwen 14B,0,0.7682456623519691,0.6146825396825397,0.6850950906678461,0.6479815938088266,0.7454669614506997
14.0,Qwen 14B,1,0.6890235504751412,0.5004018215912135,0.8261831048208758,0.62328995662329,0.7265915524104378
14.0,Qwen 14B,2,0.6311294765840221,0.4535968028419183,0.9039823008849558,0.60408042578356,0.7058911504424779
14.0,Qwen 14B,3,0.7472103595536576,0.5755421258442943,0.7163716814159292,0.638281095998423,0.738761955931009
